30,000-Year White Turtle         | Bugrothian Turtle
7 Colored Fish                   | Bugrothian
Air Marmot of Nefariousness      | Koumorian Sheepian UsableBeast
Akakieisu                        | MercuryMagicUser MercurySpellcaster
Akihiron                         | Bugrothian
Amazon of the Seas               | Female
Ameba                            | Bugrothian
Ancient Brain                    | AngelWinged MercuryMagicUser Sheepian
                                   Thronian
Ancient Elf                      | Elf Female
Ancient Jar                      | Jar
Ancient Lizard Warrior           | Bugrothian
Ancient One of the Deep Forest   | UsableBeast
Ancient Sorcerer                 | MercuryMagicUser MercurySpellcaster
Angelwitch                       | AngelWinged FeatherFromBear
                                   FeatherFromMachine Female MercuryMagicUser
                                   MercurySpellcaster
Ansatsu                          | MercuryMagicUser
Aqua Dragon                      | Dragon
Aqua Madoor                      | Bugrothian
Aqua Snake                       | Bugrothian
Arlownay                         | Female
Arma Knight                      | Bugrothian
Armaill                          | Pyro
Armed Ninja                      | Bugrothian
Armored Lizard                   | Bugrothian
Armored Rat                      | UsableBeast
Armored Starfish                 | Bugrothian
B. Dragon Jungle King            | Dragon
Baby Dragon                      | Dragon
Beaked Snake                     | Bugrothian
Bear Trap                        | FeatherFromHarpie
Beastking of the Swamps          | Bugrothian
Beautiful Beast Trainer          | Female
Beautiful Headhuntress           | Female MercuryMagicUser
Behegon                          | Bugrothian
Big Eye                          | Thronian
Binding Chain                    | MusKingian
Bio Plant                        | Sheepian Thronian
Blackland Fire Dragon            | Dragon MercuryMagicUser
Blast Juggler                    | Pyro
Blue-eyed Silver Zombie          | Sheepian
Blue-winged Crown                | FeatherFromBear FeatherFromMachine
Bone Mouse                       | Sheepian
Boo Koo                          | MusKingian MystElfian
Bottom Dweller                   | Bugrothian
Boulder Tortoise                 | Bugrothian Turtle
Burglar                          | UsableBeast
Candle of Fate                   | Pyro
Castle of Dark Illusions         | MercuryMagicUser Sheepian Thronian
Catapult Turtle                  | Bugrothian Turtle
Celtic Guardian                  | Elf
Change Slime                     | Bugrothian
Charubin the Fire Knight         | Pyro
Claw Reacher                     | MercuryMagicUser Sheepian Thronian
Corroding Shark                  | Sheepian
Crab Turtle                      | Turtle
Crawling Dragon                  | Dragon
Crawling Dragon #2               | Dragon
Crazy Fish                       | Bugrothian
Crimson Sunbird                  | FeatherFromMachine
Curse of Dragon                  | Dragon
Curtain of the Dark Ones         | MercuryMagicUser MercurySpellcaster
Dancing Elf                      | AngelWinged Elf Female
Dark Artist                      | MercuryMagicUser Sheepian Thronian
Dark Elf                         | Female MercuryMagicUser MercurySpellcaster
Dark Gray                        | UsableBeast
Dark King of the Abyss           | MercuryMagicUser Thronian
Dark Prisoner                    | MercuryMagicUser Sheepian Thronian
Dark Rabbit                      | Koumorian Sheepian Thronian
Dark Shade                       | Sheepian Thronian
Dark Titan of Terror             | MercuryMagicUser Thronian
Dark Witch                       | AngelWinged FeatherFromMachine Female
Darkfire Dragon                  | Dragon Pyro
Dissolverock                     | Pyro
Dokuroizo the Grim Reaper        | Sheepian
Doma The Angel of Silence        | MercuryMagicUser
Doron                            | Bugrothian
Dorover                          | Bugrothian
Dragon Piper                     | Jar Pyro
Dragon Statue                    | Dragon
Dragon Zombie                    | Dragon
Drooling Lizard                  | Bugrothian
Dryad                            | Female
Eatgaboon                        | FeatherFromHarpie
Eldeen                           | Female MercuryMagicUser MercurySpellcaster
Embryonic Beast                  | Koumorian Sheepian Thronian
Emperor of the Land and Sea      | Bugrothian
Enchanting Mermaid               | Female
Exodia the Forbidden             | MercuryMagicUser MercurySpellcaster
Fairy Dragon                     | Dragon
Fairy of the Fountain            | Bugrothian Female
Fairy's Gift                     | Female
Faith Bird                       | FeatherFromBear FeatherFromMachine
                                   MusKingian
Feral Imp                        | Koumorian Thronian
Fiend Kraken                     | Bugrothian
Fiend Refrection #1              | Mirror
Fiend Refrection #2              | FeatherFromMachine Mirror
Fiend's Hand                     | Sheepian
Fiend's Mirror                   | Mirror
Fire Eye                         | Pyro
Fire Kraken                      | Bugrothian Pyro
Fire Reaper                      | Pyro
Firegrass                        | Pyro
Firewing Pegasus                 | Pyro
Fireyarou                        | Pyro
Flame Ghost                      | Pyro
Flame Manipulator                | Pyro
Flame Swordsman                  | Pyro
Flame Viper                      | Pyro
Flower Wolf                      | UsableBeast
Flying Penguin                   | Bugrothian FeatherFromMachine
Follow Wind                      | FeatherFromMachine
Frenzied Panda                   | UsableBeast
Frog The Jam                     | Bugrothian
Fungi of the Musk                | Sheepian Thronian
Fusionist                        | AngelWinged FeatherFromBear
                                   FeatherFromMachine UsableBeast
Gaia the Dragon Champion         | Dragon
Garoozis                         | Pyro
